Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas8169     Pavarde8169    7    9    4    9    5    9       
Vardas8170     Pavarde8170    3    6    9    5    3    2       
Vardas8171     Pavarde8171    8    3    5    4    5    9       
Vardas8172     Pavarde8172    7    7    5    7    10   6       
Vardas8173     Pavarde8173    7    8    7    2    3    9       
Vardas8174     Pavarde8174    8    5    5    9    4    5       
Vardas8175     Pavarde8175    7    6    9    7    4    1       
Vardas8176     Pavarde8176    2    8    9    8    1    6       
Vardas8177     Pavarde8177    10   7    2    9    7    9       
Vardas8178     Pavarde8178    4    2    1    5    5    5       
Vardas8179     Pavarde8179    6    10   9    4    9    1       
Vardas8180     Pavarde8180    8    10   6    8    9    9       
Vardas8181     Pavarde8181    6    1    9    2    3    8       
Vardas8182     Pavarde8182    5    3    3    8    1    3       
Vardas8183     Pavarde8183    4    3    4    2    6    2       
Vardas8184     Pavarde8184    3    5    3    8    10   1       
Vardas8185     Pavarde8185    4    6    3    2    9    3       
Vardas8186     Pavarde8186    4    3    2    5    6    2       
Vardas8187     Pavarde8187    1    8    5    9    5    8       
Vardas8188     Pavarde8188    9    8    9    5    8    5       
Vardas8189     Pavarde8189    1    10   5    1    1    3       
Vardas8190     Pavarde8190    10   10   3    9    9    9       
Vardas8191     Pavarde8191    2    4    10   10   6    4       
Vardas8192     Pavarde8192    10   3    10   10   5    7       
Vardas8193     Pavarde8193    2    9    1    2    9    7       
Vardas8194     Pavarde8194    1    8    4    1    10   9       
Vardas8195     Pavarde8195    1    3    5    3    5    10      
Vardas8196     Pavarde8196    8    2    4    4    8    1       
Vardas8197     Pavarde8197    8    3    8    7    5    8       
Vardas8198     Pavarde8198    9    1    1    1    2    7       
Vardas8199     Pavarde8199    5    8    5    9    3    8       
Vardas8200     Pavarde8200    2    3    1    9    2    8       
Vardas8201     Pavarde8201    5    1    8    6    6    7       
Vardas8202     Pavarde8202    1    4    9    2    9    4       
Vardas8203     Pavarde8203    1    4    2    4    10   8       
Vardas8204     Pavarde8204    9    3    10   7    10   4       
Vardas8205     Pavarde8205    1    4    4    10   8    8       
Vardas8206     Pavarde8206    1    3    10   3    3    3       
Vardas8207     Pavarde8207    7    6    6    7    6    10      
Vardas8208     Pavarde8208    10   9    3    1    8    2       
Vardas8209     Pavarde8209    1    10   4    5    6    9       
Vardas8210     Pavarde8210    7    3    6    5    6    2       
Vardas8211     Pavarde8211    7    6    1    7    5    3       
Vardas8212     Pavarde8212    2    3    8    2    4    3       
Vardas8213     Pavarde8213    8    10   7    8    3    9       
Vardas8214     Pavarde8214    2    7    9    9    4    3       
Vardas8215     Pavarde8215    4    9    1    1    5    10      
Vardas8216     Pavarde8216    7    9    5    10   4    1       
Vardas8217     Pavarde8217    3    2    9    6    2    1       
Vardas8218     Pavarde8218    7    10   2    10   1    5       
Vardas8219     Pavarde8219    4    6    7    6    9    3       
Vardas8220     Pavarde8220    4    9    10   7    6    1       
Vardas8221     Pavarde8221    3    5    5    4    5    9       
Vardas8222     Pavarde8222    4    3    6    6    1    1       
Vardas8223     Pavarde8223    8    10   8    8    6    9       
Vardas8224     Pavarde8224    8    3    6    1    9    3       
Vardas8225     Pavarde8225    1    10   10   8    8    5       
Vardas8226     Pavarde8226    1    10   7    5    5    3       
Vardas8227     Pavarde8227    10   7    7    5    5    1       
Vardas8228     Pavarde8228    1    10   2    7    10   2       
Vardas8229     Pavarde8229    2    7    1    6    2    3       
Vardas8230     Pavarde8230    10   4    5    3    3    3       
Vardas8231     Pavarde8231    1    7    4    7    2    7       
Vardas8232     Pavarde8232    3    6    3    7    5    8       
Vardas8233     Pavarde8233    3    9    7    1    9    1       
Vardas8234     Pavarde8234    7    6    7    1    2    9       
Vardas8235     Pavarde8235    10   8    5    2    4    9       
Vardas8236     Pavarde8236    3    8    8    9    3    1       
Vardas8237     Pavarde8237    1    1    9    10   8    10      
Vardas8238     Pavarde8238    3    2    7    2    5    1       
Vardas8239     Pavarde8239    9    7    10   5    1    8       
Vardas8240     Pavarde8240    8    8    9    2    9    8       
Vardas8241     Pavarde8241    6    5    8    5    3    6       
Vardas8242     Pavarde8242    4    3    9    6    1    5       
Vardas8243     Pavarde8243    10   4    2    9    8    6       
Vardas8244     Pavarde8244    7    6    10   9    5    5       
Vardas8245     Pavarde8245    9    10   4    9    4    6       
Vardas8246     Pavarde8246    2    5    10   9    8    9       
Vardas8247     Pavarde8247    5    5    7    4    3    3       
Vardas8248     Pavarde8248    5    8    4    6    2    10      
Vardas8249     Pavarde8249    3    3    1    1    9    6       
Vardas8250     Pavarde8250    8    8    2    8    8    3       
Vardas8251     Pavarde8251    5    4    1    2    2    7       
Vardas8252     Pavarde8252    7    6    10   6    6    1       
Vardas8253     Pavarde8253    9    6    1    3    3    1       
Vardas8254     Pavarde8254    10   5    9    9    3    6       
Vardas8255     Pavarde8255    1    9    8    5    2    8       
Vardas8256     Pavarde8256    7    4    7    8    10   2       
Vardas8257     Pavarde8257    10   8    6    10   9    5       
Vardas8258     Pavarde8258    1    10   4    6    5    6       
Vardas8259     Pavarde8259    10   7    2    10   2    4       
Vardas8260     Pavarde8260    3    5    4    6    3    8       
Vardas8261     Pavarde8261    1    9    5    7    2    10      
Vardas8262     Pavarde8262    9    8    9    5    9    7       
Vardas8263     Pavarde8263    10   8    6    7    10   8       
Vardas8264     Pavarde8264    6    10   8    8    2    4       
Vardas8265     Pavarde8265    7    1    2    1    8    7       
Vardas8266     Pavarde8266    4    6    8    6    3    8       
Vardas8267     Pavarde8267    5    7    4    1    2    4       
Vardas8268     Pavarde8268    3    8    6    4    4    7       
Vardas8269     Pavarde8269    1    10   8    3    6    9       
Vardas8270     Pavarde8270    2    10   9    3    10   6       
Vardas8271     Pavarde8271    8    8    5    3    5    10      
Vardas8272     Pavarde8272    5    7    2    8    7    4       
Vardas8273     Pavarde8273    7    2    9    6    4    5       
Vardas8274     Pavarde8274    5    10   8    4    3    9       
Vardas8275     Pavarde8275    5    5    6    4    9    1       
Vardas8276     Pavarde8276    5    3    6    1    3    7       
Vardas8277     Pavarde8277    1    9    4    7    2    5       
Vardas8278     Pavarde8278    10   3    2    10   5    1       
Vardas8279     Pavarde8279    6    5    8    10   4    3       
Vardas8280     Pavarde8280    1    5    4    3    6    8       
Vardas8281     Pavarde8281    2    1    9    10   3    8       
Vardas8282     Pavarde8282    8    5    7    3    3    4       
Vardas8283     Pavarde8283    6    10   10   10   10   4       
Vardas8284     Pavarde8284    1    3    9    3    4    6       
Vardas8285     Pavarde8285    7    4    6    7    1    9       
Vardas8286     Pavarde8286    7    6    7    1    10   7       
Vardas8287     Pavarde8287    10   9    2    7    3    6       
Vardas8288     Pavarde8288    3    2    6    5    7    7       
Vardas8289     Pavarde8289    5    7    1    6    1    10      
Vardas8290     Pavarde8290    3    4    2    6    4    3       
Vardas8291     Pavarde8291    3    4    9    10   7    6       
Vardas8292     Pavarde8292    6    9    6    8    3    7       
Vardas8293     Pavarde8293    1    4    1    4    8    5       
Vardas8294     Pavarde8294    2    1    4    10   9    9       
Vardas8295     Pavarde8295    7    6    5    5    7    10      
Vardas8296     Pavarde8296    7    8    7    5    7    7       
Vardas8297     Pavarde8297    7    5    9    10   8    5       
Vardas8298     Pavarde8298    1    6    5    3    5    6       
Vardas8299     Pavarde8299    1    8    2    5    6    7       
Vardas8300     Pavarde8300    10   10   5    4    9    5       
Vardas8301     Pavarde8301    2    2    5    1    4    8       
Vardas8302     Pavarde8302    2    8    2    9    8    8       
Vardas8303     Pavarde8303    5    8    1    10   5    8       
Vardas8304     Pavarde8304    10   2    5    6    7    6       
Vardas8305     Pavarde8305    8    9    4    5    6    7       
Vardas8306     Pavarde8306    4    4    2    2    7    8       
Vardas8307     Pavarde8307    5    2    6    3    4    4       
Vardas8308     Pavarde8308    9    4    4    9    1    1       
Vardas8309     Pavarde8309    4    10   8    9    5    10      
Vardas8310     Pavarde8310    9    3    1    7    6    1       
Vardas8311     Pavarde8311    7    9    4    9    1    7       
Vardas8312     Pavarde8312    3    1    7    7    7    4       
Vardas8313     Pavarde8313    2    6    3    7    1    8       
Vardas8314     Pavarde8314    10   4    10   10   1    10      
Vardas8315     Pavarde8315    4    9    10   9    8    5       
Vardas8316     Pavarde8316    10   1    7    2    10   2       
Vardas8317     Pavarde8317    9    2    7    5    5    3       
Vardas8318     Pavarde8318    10   6    1    9    1    2       
Vardas8319     Pavarde8319    7    8    4    3    6    2       
Vardas8320     Pavarde8320    8    5    7    1    6    7       
Vardas8321     Pavarde8321    6    7    7    7    3    9       
Vardas8322     Pavarde8322    8    9    4    3    9    10      
Vardas8323     Pavarde8323    3    5    10   7    8    1       
Vardas8324     Pavarde8324    7    7    8    4    4    3       
Vardas8325     Pavarde8325    6    4    10   6    1    8       
Vardas8326     Pavarde8326    4    10   7    4    1    3       
Vardas8327     Pavarde8327    8    5    8    5    3    1       
Vardas8328     Pavarde8328    9    4    8    5    1    3       
Vardas8329     Pavarde8329    2    2    5    4    8    9       
Vardas8330     Pavarde8330    6    10   2    9    8    3       
Vardas8331     Pavarde8331    5    5    9    9    6    1       
Vardas8332     Pavarde8332    7    6    1    7    4    4       
Vardas8333     Pavarde8333    4    5    9    7    10   7       
Vardas8334     Pavarde8334    10   1    10   10   10   5       
Vardas8335     Pavarde8335    8    1    4    8    3    4       
Vardas8336     Pavarde8336    1    4    2    10   3    8       
Vardas8337     Pavarde8337    6    1    1    8    4    8       
Vardas8338     Pavarde8338    6    2    2    1    1    8       
Vardas8339     Pavarde8339    9    9    5    5    5    5       
Vardas8340     Pavarde8340    9    4    9    6    1    2       
Vardas8341     Pavarde8341    4    4    9    10   1    3       
Vardas8342     Pavarde8342    7    5    8    2    2    5       
Vardas8343     Pavarde8343    8    8    8    6    3    6       
Vardas8344     Pavarde8344    6    8    10   6    4    5       
Vardas8345     Pavarde8345    3    3    6    10   9    3       
Vardas8346     Pavarde8346    1    2    1    9    2    4       
Vardas8347     Pavarde8347    6    8    3    5    1    5       
Vardas8348     Pavarde8348    10   1    8    7    3    2       
Vardas8349     Pavarde8349    10   10   2    6    6    5       
Vardas8350     Pavarde8350    9    6    9    1    4    9       
Vardas8351     Pavarde8351    10   3    9    8    4    10      
Vardas8352     Pavarde8352    3    4    10   2    5    10      
Vardas8353     Pavarde8353    6    3    8    3    3    4       
Vardas8354     Pavarde8354    1    3    8    8    2    3       
Vardas8355     Pavarde8355    5    9    2    9    8    10      
Vardas8356     Pavarde8356    3    1    9    4    5    1       
Vardas8357     Pavarde8357    10   2    6    6    5    1       
Vardas8358     Pavarde8358    7    4    2    4    6    4       
Vardas8359     Pavarde8359    4    8    3    1    8    5       
Vardas8360     Pavarde8360    4    2    7    6    7    8       
Vardas8361     Pavarde8361    1    1    9    4    2    9       
Vardas8362     Pavarde8362    6    6    7    9    7    7       
Vardas8363     Pavarde8363    7    8    10   8    7    7       
Vardas8364     Pavarde8364    2    5    8    7    6    8       
Vardas8365     Pavarde8365    9    9    3    2    3    4       
Vardas8366     Pavarde8366    10   7    7    10   6    5       
Vardas8367     Pavarde8367    6    1    6    4    10   6       
Vardas8368     Pavarde8368    10   1    1    10   10   8       
Vardas8369     Pavarde8369    6    4    10   7    8    10      
Vardas8370     Pavarde8370    6    5    7    1    7    2       
Vardas8371     Pavarde8371    9    2    7    10   7    7       
Vardas8372     Pavarde8372    4    8    6    6    7    6       
Vardas8373     Pavarde8373    4    3    9    4    2    2       
Vardas8374     Pavarde8374    8    3    7    8    8    1       
Vardas8375     Pavarde8375    8    4    7    10   5    8       
Vardas8376     Pavarde8376    5    9    4    1    9    7       
Vardas8377     Pavarde8377    10   9    5    7    7    7       
Vardas8378     Pavarde8378    1    7    10   6    8    5       
Vardas8379     Pavarde8379    8    4    6    7    4    9       
Vardas8380     Pavarde8380    4    10   5    3    1    6       
Vardas8381     Pavarde8381    5    4    7    1    3    5       
Vardas8382     Pavarde8382    2    7    9    9    7    3       
Vardas8383     Pavarde8383    2    1    4    10   7    4       
Vardas8384     Pavarde8384    3    3    5    1    7    4       
Vardas8385     Pavarde8385    8    8    2    5    3    6       
Vardas8386     Pavarde8386    8    9    4    1    8    4       
Vardas8387     Pavarde8387    1    1    2    3    9    4       
Vardas8388     Pavarde8388    6    7    6    8    5    6       
Vardas8389     Pavarde8389    2    3    5    3    2    6       
Vardas8390     Pavarde8390    9    5    8    4    3    3       
Vardas8391     Pavarde8391    10   10   1    1    8    3       
Vardas8392     Pavarde8392    8    7    3    8    9    1       
Vardas8393     Pavarde8393    2    10   9    1    4    1       
Vardas8394     Pavarde8394    9    2    8    7    2    9       
Vardas8395     Pavarde8395    7    8    4    2    1    9       
Vardas8396     Pavarde8396    1    10   5    5    10   5       
Vardas8397     Pavarde8397    4    3    8    8    2    10      
Vardas8398     Pavarde8398    1    3    9    8    6    3       
Vardas8399     Pavarde8399    4    5    10   10   5    2       
Vardas8400     Pavarde8400    8    7    9    2    2    5       
Vardas8401     Pavarde8401    2    10   10   6    5    9       
Vardas8402     Pavarde8402    7    7    5    9    10   5       
Vardas8403     Pavarde8403    9    10   2    8    1    3       
Vardas8404     Pavarde8404    1    2    1    10   9    6       
Vardas8405     Pavarde8405    4    3    9    3    1    8       
Vardas8406     Pavarde8406    5    1    9    6    10   8       
Vardas8407     Pavarde8407    8    7    9    1    4    5       
Vardas8408     Pavarde8408    8    5    10   9    2    10      
Vardas8409     Pavarde8409    7    1    2    6    6    6       
Vardas8410     Pavarde8410    10   4    10   7    9    3       
Vardas8411     Pavarde8411    10   6    2    7    10   6       
Vardas8412     Pavarde8412    7    7    8    2    2    2       
Vardas8413     Pavarde8413    6    4    6    10   8    5       
Vardas8414     Pavarde8414    8    9    10   8    7    9       
Vardas8415     Pavarde8415    4    10   5    7    2    5       
Vardas8416     Pavarde8416    6    7    3    4    5    10      
Vardas8417     Pavarde8417    7    4    3    2    2    5       
Vardas8418     Pavarde8418    6    3    5    1    2    5       
Vardas8419     Pavarde8419    9    5    6    6    1    5       
Vardas8420     Pavarde8420    2    8    6    5    4    2       
Vardas8421     Pavarde8421    5    7    4    7    5    5       
Vardas8422     Pavarde8422    1    3    3    10   10   1       
Vardas8423     Pavarde8423    10   3    9    5    6    8       
Vardas8424     Pavarde8424    7    6    9    2    1    1       
Vardas8425     Pavarde8425    3    7    3    3    3    4       
Vardas8426     Pavarde8426    1    7    6    3    7    3       
Vardas8427     Pavarde8427    5    6    4    9    1    9       
Vardas8428     Pavarde8428    10   4    1    2    4    8       
Vardas8429     Pavarde8429    4    7    4    7    7    8       
Vardas8430     Pavarde8430    5    10   8    6    1    10      
Vardas8431     Pavarde8431    4    8    3    4    10   10      
Vardas8432     Pavarde8432    1    1    7    4    3    1       
Vardas8433     Pavarde8433    8    8    10   3    1    8       
Vardas8434     Pavarde8434    1    2    4    3    1    1       
Vardas8435     Pavarde8435    8    3    9    2    5    6       
Vardas8436     Pavarde8436    6    6    2    3    4    3       
Vardas8437     Pavarde8437    10   1    3    2    4    9       
Vardas8438     Pavarde8438    6    8    7    1    4    8       
Vardas8439     Pavarde8439    4    10   6    1    7    3       
Vardas8440     Pavarde8440    9    8    10   6    3    2       
Vardas8441     Pavarde8441    5    5    8    7    8    5       
Vardas8442     Pavarde8442    9    7    7    10   1    1       
Vardas8443     Pavarde8443    9    7    6    5    6    5       
Vardas8444     Pavarde8444    1    7    9    1    8    3       
Vardas8445     Pavarde8445    10   2    4    9    5    2       
Vardas8446     Pavarde8446    4    2    1    1    4    7       
Vardas8447     Pavarde8447    8    9    3    6    7    4       
Vardas8448     Pavarde8448    9    7    3    3    1    6       
Vardas8449     Pavarde8449    9    1    2    6    9    5       
Vardas8450     Pavarde8450    1    4    10   9    10   6       
Vardas8451     Pavarde8451    10   2    4    6    6    3       
Vardas8452     Pavarde8452    8    1    9    6    2    6       
Vardas8453     Pavarde8453    5    2    3    10   9    10      
Vardas8454     Pavarde8454    10   5    9    7    5    1       
Vardas8455     Pavarde8455    6    1    5    4    8    2       
Vardas8456     Pavarde8456    7    1    5    8    4    8       
Vardas8457     Pavarde8457    3    6    8    8    4    4       
Vardas8458     Pavarde8458    2    4    6    10   3    9       
Vardas8459     Pavarde8459    2    7    1    4    6    2       
Vardas8460     Pavarde8460    8    8    2    8    2    5       
Vardas8461     Pavarde8461    3    1    1    1    5    10      
Vardas8462     Pavarde8462    10   2    9    6    2    8       
Vardas8463     Pavarde8463    2    10   5    9    7    1       
Vardas8464     Pavarde8464    9    4    9    10   1    6       
Vardas8465     Pavarde8465    1    1    10   6    2    10      
Vardas8466     Pavarde8466    2    5    7    7    8    4       
Vardas8467     Pavarde8467    8    4    5    1    7    1       
Vardas8468     Pavarde8468    9    3    2    1    9    7       
Vardas8469     Pavarde8469    5    4    3    3    4    5       
Vardas8470     Pavarde8470    8    10   1    6    8    10      
Vardas8471     Pavarde8471    10   6    2    10   3    7       
Vardas8472     Pavarde8472    5    10   8    2    5    2       
Vardas8473     Pavarde8473    4    7    1    9    9    9       
Vardas8474     Pavarde8474    7    10   8    3    8    5       
Vardas8475     Pavarde8475    4    8    1    9    5    8       
Vardas8476     Pavarde8476    4    1    3    9    3    10      
Vardas8477     Pavarde8477    10   10   2    3    1    10      
Vardas8478     Pavarde8478    10   7    8    5    3    9       
Vardas8479     Pavarde8479    10   3    2    4    10   9       
Vardas8480     Pavarde8480    8    6    3    7    5    4       
Vardas8481     Pavarde8481    2    8    1    3    4    7       
Vardas8482     Pavarde8482    7    5    3    10   8    2       
Vardas8483     Pavarde8483    9    6    10   4    4    3       
Vardas8484     Pavarde8484    9    3    5    9    2    9       
Vardas8485     Pavarde8485    10   8    3    2    2    4       
Vardas8486     Pavarde8486    9    6    5    10   3    8       
Vardas8487     Pavarde8487    2    9    9    2    7    7       
Vardas8488     Pavarde8488    6    6    3    8    5    6       
Vardas8489     Pavarde8489    1    9    4    3    1    10      
Vardas8490     Pavarde8490    10   5    8    5    5    5       
Vardas8491     Pavarde8491    1    3    10   8    1    8       
Vardas8492     Pavarde8492    10   1    4    8    3    4       
Vardas8493     Pavarde8493    3    5    2    3    6    2       
Vardas8494     Pavarde8494    10   1    10   4    7    8       
Vardas8495     Pavarde8495    9    3    6    10   1    9       
Vardas8496     Pavarde8496    8    6    6    8    4    7       
Vardas8497     Pavarde8497    4    5    8    6    8    10      
Vardas8498     Pavarde8498    5    5    10   4    8    3       
Vardas8499     Pavarde8499    2    2    8    5    8    5       
Vardas8500     Pavarde8500    6    10   8    4    2    6       
Vardas8501     Pavarde8501    10   6    10   8    7    5       
Vardas8502     Pavarde8502    10   10   7    2    9    5       
Vardas8503     Pavarde8503    5    9    5    1    4    4       
Vardas8504     Pavarde8504    2    6    2    6    7    5       
Vardas8505     Pavarde8505    4    6    5    2    1    10      
Vardas8506     Pavarde8506    6    3    6    5    9    1       
Vardas8507     Pavarde8507    9    1    4    1    5    6       
Vardas8508     Pavarde8508    5    3    9    4    1    9       
Vardas8509     Pavarde8509    10   1    4    7    2    8       
Vardas8510     Pavarde8510    10   5    5    5    5    5       
Vardas8511     Pavarde8511    7    10   4    9    10   4       
Vardas8512     Pavarde8512    1    1    10   7    2    10      
Vardas8513     Pavarde8513    5    4    9    7    7    10      
Vardas8514     Pavarde8514    5    3    4    1    1    1       
Vardas8515     Pavarde8515    6    1    3    5    7    3       
Vardas8516     Pavarde8516    10   4    9    8    9    8       
Vardas8517     Pavarde8517    1    2    10   6    10   6       
Vardas8518     Pavarde8518    10   2    10   4    5    1       
Vardas8519     Pavarde8519    7    9    1    1    10   6       
Vardas8520     Pavarde8520    9    6    5    4    2    2       
Vardas8521     Pavarde8521    5    2    5    1    4    6       
Vardas8522     Pavarde8522    9    2    9    2    9    1       
Vardas8523     Pavarde8523    6    2    2    7    9    2       
Vardas8524     Pavarde8524    2    2    2    8    2    9       
Vardas8525     Pavarde8525    9    7    6    6    10   3       
Vardas8526     Pavarde8526    3    3    4    2    8    5       
Vardas8527     Pavarde8527    1    8    9    2    9    7       
Vardas8528     Pavarde8528    10   10   2    5    10   1       
Vardas8529     Pavarde8529    3    7    3    3    3    10      
Vardas8530     Pavarde8530    4    10   6    5    9    5       
Vardas8531     Pavarde8531    9    5    6    6    5    7       
Vardas8532     Pavarde8532    8    5    6    9    10   7       
Vardas8533     Pavarde8533    9    3    9    5    9    10      
Vardas8534     Pavarde8534    6    3    6    4    4    3       
Vardas8535     Pavarde8535    5    10   7    7    1    3       
Vardas8536     Pavarde8536    6    2    3    5    9    1       
Vardas8537     Pavarde8537    3    4    7    3    6    9       
Vardas8538     Pavarde8538    4    2    6    2    2    9       
Vardas8539     Pavarde8539    6    8    6    1    9    7       
Vardas8540     Pavarde8540    3    4    1    4    7    2       
Vardas8541     Pavarde8541    6    5    3    1    6    7       
Vardas8542     Pavarde8542    9    4    5    10   3    1       
Vardas8543     Pavarde8543    6    8    3    7    4    10      
Vardas8544     Pavarde8544    9    9    7    8    10   4       
Vardas8545     Pavarde8545    2    1    2    7    5    6       
Vardas8546     Pavarde8546    6    7    6    5    10   10      
Vardas8547     Pavarde8547    4    10   4    7    8    7       
Vardas8548     Pavarde8548    4    4    1    1    9    10      
Vardas8549     Pavarde8549    6    3    8    9    4    8       
Vardas8550     Pavarde8550    3    4    7    5    5    8       
Vardas8551     Pavarde8551    6    8    8    8    5    10      
Vardas8552     Pavarde8552    6    8    2    10   3    9       
Vardas8553     Pavarde8553    5    7    3    10   4    4       
Vardas8554     Pavarde8554    8    8    7    1    5    3       
Vardas8555     Pavarde8555    4    4    5    5    1    5       
Vardas8556     Pavarde8556    3    5    9    2    5    4       
Vardas8557     Pavarde8557    8    1    5    8    5    2       
Vardas8558     Pavarde8558    3    7    9    10   6    1       
Vardas8559     Pavarde8559    6    2    1    9    7    7       
Vardas8560     Pavarde8560    9    4    9    2    4    2       
Vardas8561     Pavarde8561    3    9    6    1    7    4       
Vardas8562     Pavarde8562    4    2    9    1    3    2       
Vardas8563     Pavarde8563    10   9    8    3    4    5       
Vardas8564     Pavarde8564    2    2    2    2    1    5       
Vardas8565     Pavarde8565    9    2    8    10   6    6       
Vardas8566     Pavarde8566    4    3    2    2    7    2       
Vardas8567     Pavarde8567    3    1    8    3    8    2       
Vardas8568     Pavarde8568    3    4    4    5    4    7       
Vardas8569     Pavarde8569    1    4    10   10   10   4       
Vardas8570     Pavarde8570    4    1    9    7    6    7       
Vardas8571     Pavarde8571    10   2    5    8    9    4       
Vardas8572     Pavarde8572    6    10   2    10   1    4       
Vardas8573     Pavarde8573    9    8    3    8    9    9       
Vardas8574     Pavarde8574    8    8    1    9    2    1       
Vardas8575     Pavarde8575    9    5    7    9    2    6       
Vardas8576     Pavarde8576    3    1    8    2    5    6       
Vardas8577     Pavarde8577    6    3    8    4    3    8       
Vardas8578     Pavarde8578    10   8    2    7    3    8       
Vardas8579     Pavarde8579    7    6    3    10   3    7       
Vardas8580     Pavarde8580    2    1    10   4    6    6       
Vardas8581     Pavarde8581    4    9    7    5    9    6       
Vardas8582     Pavarde8582    8    2    9    7    1    6       
Vardas8583     Pavarde8583    9    5    9    4    4    1       
Vardas8584     Pavarde8584    1    4    5    6    9    3       
Vardas8585     Pavarde8585    8    9    2    6    10   10      
Vardas8586     Pavarde8586    5    8    10   5    10   10      
Vardas8587     Pavarde8587    10   8    5    7    2    3       
Vardas8588     Pavarde8588    5    4    9    1    8    9       
Vardas8589     Pavarde8589    4    2    1    4    7    6       
Vardas8590     Pavarde8590    5    8    9    5    10   4       
Vardas8591     Pavarde8591    4    7    2    7    9    5       
Vardas8592     Pavarde8592    4    10   10   7    10   8       
Vardas8593     Pavarde8593    6    9    3    7    3    7       
Vardas8594     Pavarde8594    5    6    3    5    6    2       
Vardas8595     Pavarde8595    10   8    3    7    9    10      
Vardas8596     Pavarde8596    5    10   9    5    3    10      
Vardas8597     Pavarde8597    4    10   3    3    2    6       
Vardas8598     Pavarde8598    1    4    3    10   9    5       
Vardas8599     Pavarde8599    6    10   3    5    5    5       
Vardas8600     Pavarde8600    9    4    1    9    1    2       
Vardas8601     Pavarde8601    10   4    2    3    4    5       
Vardas8602     Pavarde8602    10   5    4    4    3    9       
Vardas8603     Pavarde8603    2    2    4    2    5    3       
Vardas8604     Pavarde8604    6    7    9    1    4    8       
Vardas8605     Pavarde8605    5    9    8    2    7    2       
Vardas8606     Pavarde8606    1    6    9    8    3    3       
Vardas8607     Pavarde8607    7    6    4    7    9    3       
Vardas8608     Pavarde8608    5    3    1    9    7    5       
Vardas8609     Pavarde8609    8    5    1    7    5    4       
Vardas8610     Pavarde8610    3    6    2    1    2    7       
Vardas8611     Pavarde8611    5    9    3    10   9    9       
Vardas8612     Pavarde8612    3    4    3    5    5    2       
Vardas8613     Pavarde8613    2    9    1    3    7    7       
Vardas8614     Pavarde8614    2    10   5    6    2    1       
Vardas8615     Pavarde8615    1    7    5    3    3    4       
Vardas8616     Pavarde8616    1    8    9    5    3    10      
Vardas8617     Pavarde8617    3    3    4    8    4    2       
Vardas8618     Pavarde8618    9    8    7    1    7    9       
Vardas8619     Pavarde8619    8    7    3    5    10   2       
Vardas8620     Pavarde8620    10   6    8    8    10   7       
Vardas8621     Pavarde8621    7    10   5    5    2    10      
Vardas8622     Pavarde8622    5    8    6    3    2    10      
Vardas8623     Pavarde8623    3    9    4    10   2    5       
Vardas8624     Pavarde8624    3    10   8    6    2    8       
Vardas8625     Pavarde8625    2    3    6    6    3    3       
Vardas8626     Pavarde8626    3    1    6    10   6    4       
Vardas8627     Pavarde8627    6    9    9    6    5    8       
Vardas8628     Pavarde8628    1    3    10   10   3    8       
Vardas8629     Pavarde8629    6    9    3    5    1    5       
Vardas8630     Pavarde8630    4    9    7    3    1    10      
Vardas8631     Pavarde8631    5    4    1    1    5    9       
Vardas8632     Pavarde8632    10   4    8    9    10   2       
Vardas8633     Pavarde8633    3    8    5    4    2    5       
Vardas8634     Pavarde8634    9    10   4    7    3    2       
Vardas8635     Pavarde8635    4    4    7    5    10   8       
Vardas8636     Pavarde8636    10   6    10   3    1    9       
Vardas8637     Pavarde8637    8    1    3    9    6    7       
Vardas8638     Pavarde8638    10   7    9    2    8    4       
Vardas8639     Pavarde8639    10   2    1    2    6    6       
Vardas8640     Pavarde8640    7    1    10   5    6    9       
Vardas8641     Pavarde8641    10   5    1    6    3    8       
Vardas8642     Pavarde8642    10   6    8    1    2    7       
Vardas8643     Pavarde8643    9    7    3    6    2    3       
Vardas8644     Pavarde8644    9    2    10   6    2    5       
Vardas8645     Pavarde8645    4    10   6    5    8    6       
Vardas8646     Pavarde8646    8    8    8    9    7    5       
Vardas8647     Pavarde8647    8    5    2    7    5    5       
Vardas8648     Pavarde8648    5    5    8    1    7    7       
Vardas8649     Pavarde8649    10   1    4    9    7    4       
Vardas8650     Pavarde8650    4    4    3    1    10   2       
Vardas8651     Pavarde8651    4    3    9    5    1    3       
Vardas8652     Pavarde8652    2    5    1    10   4    6       
Vardas8653     Pavarde8653    2    8    5    5    3    9       
Vardas8654     Pavarde8654    2    10   8    9    10   4       
Vardas8655     Pavarde8655    1    5    6    3    8    7       
Vardas8656     Pavarde8656    9    2    5    8    5    5       
Vardas8657     Pavarde8657    2    1    4    8    1    5       
Vardas8658     Pavarde8658    4    7    6    9    3    1       
Vardas8659     Pavarde8659    5    9    2    6    3    3       
Vardas8660     Pavarde8660    6    10   3    5    10   8       
Vardas8661     Pavarde8661    5    9    5    9    10   9       
Vardas8662     Pavarde8662    9    7    10   10   5    9       
Vardas8663     Pavarde8663    3    8    4    6    9    4       
Vardas8664     Pavarde8664    1    4    8    7    3    7       
Vardas8665     Pavarde8665    8    10   8    7    9    1       
Vardas8666     Pavarde8666    8    10   3    8    4    10      
